individual ,age,growth rate,species,elevation,doc.mgL,fish.d13C
1,1,0.127,Brooktrout,3205,1.4076,-16.25
1,2,0.074,Brooktrout,3205,1.4076,-16.25
1,3,0.069,Brooktrout,3205,1.4076,-16.25
1,4,0.081,Brooktrout,3205,1.4076,-16.25
1,5,0.049,Brooktrout,3205,1.4076,-16.25
1,6,0.082,Brooktrout,3205,1.4076,-16.25
1,7,0.329,Brooktrout,3205,1.4076,-16.25
2,1,0.825,Brooktrout,3205,1.4076,-15.84
2,2,0.487,Brooktrout,3205,1.4076,-15.84
2,3,0.284,Brooktrout,3205,1.4076,-15.84
2,4,0.193,Brooktrout,3205,1.4076,-15.84
2,5,0.284,Brooktrout,3205,1.4076,-15.84
3,1,0.377,Brooktrout,3151,1.5036,-17.99
3,2,0.243,Brooktrout,3151,1.5036,-17.99
3,3,0.353,Brooktrout,3151,1.5036,-17.99
3,4,0.38,Brooktrout,3151,1.5036,-17.99
4,1,0.464,Brooktrout,3151,1.5036,-17.13
4,2,0.385,Brooktrout,3151,1.5036,-17.13
4,3,0.256,Brooktrout,3151,1.5036,-17.13
4,4,0.314,Brooktrout,3151,1.5036,-17.13
4,5,0.24,Brooktrout,3151,1.5036,-17.13
5,1,0.746,Brooktrout,2774,1.2816,-22.48
5,2,0.402,Brooktrout,2774,1.2816,-22.48
5,3,0.392,Brooktrout,2774,1.2816,-22.48
5,4,0.283,Brooktrout,2774,1.2816,-22.48
5,5,0.192,Brooktrout,2774,1.2816,-22.48
6,1,0.655,Brooktrout,2774,1.2816,-27.15
6,2,0.384,Brooktrout,2774,1.2816,-27.15
6,3,0.66,Brooktrout,2774,1.2816,-27.15
6,4,0.405,Brooktrout,2774,1.2816,-27.15
6,5,0.384,Brooktrout,2774,1.2816,-27.15
6,6,0.303,Brooktrout,2774,1.2816,-27.15
7,1,0.56,Brooktrout,2774,1.2816,-23.28
7,2,1.118,Brooktrout,2774,1.2816,-23.28
7,3,0.512,Brooktrout,2774,1.2816,-23.28
8,1,0.467,Brooktrout,2774,1.2816,-22.73
8,2,0.206,Brooktrout,2774,1.2816,-22.73
8,3,0.528,Brooktrout,2774,1.2816,-22.73
9,1,0.31,Brooktrout,2814,1.0812,-24.43
9,2,0.515,Brooktrout,2814,1.0812,-24.43
10,1,0.372,Brooktrout,2909,1.002,-21.55
10,2,0.983,Brooktrout,2909,1.002,-21.55
10,3,0.277,Brooktrout,2909,1.002,-21.55
10,4,0.311,Brooktrout,2909,1.002,-21.55
10,5,0.249,Brooktrout,2909,1.002,-21.55
10,6,0.272,Brooktrout,2909,1.002,-21.55
11,1,0.474,Brooktrout,3337,1.1028,-23.46
11,2,0.498,Brooktrout,3337,1.1028,-23.46
11,3,0.339,Brooktrout,3337,1.1028,-23.46
11,4,0.336,Brooktrout,3337,1.1028,-23.46
12,1,0.581,Brooktrout,3337,1.1028,-20.03
