Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0001,2.307,20,8.669267447,B,c
BF0001,2.382,23,9.655751469,B,c
BF0001,1.936,18,9.297520661,B,c
BF0001,2.098,18,8.579599619,B,c
BF0001,1.652,15,9.079903148,B,c
BF0001,1.362,11,8.076358297,B,c
BF0001,1.57,11,7.006369427,B,c
BF0001,2.406,21,8.728179551,B,c
BF0001,4.052,39,9.624876604,B,c
BF0001,2.023,22,10.87493821,B,c
BF0001,1.338,11,8.22122571,B,c
BF0001,2.348,19,8.091993186,B,c
BF0001,2.406,21,8.728179551,B,c
BF0001,0.949,9,9.483667018,B,c
BF0001,1.855,15,8.086253369,B,c
BF0001,1.413,11,7.784854919,B,c
BF0006,5.588,52,9.305654975,B,c
BF0006,6.557,61,9.303034925,B,c
BF0006,5.541,55,9.926006136,B,c
BF0006,4.002,35,8.745627186,B,c
BF0006,5.768,54,9.361997226,B,c
BF0006,3.417,32,9.364940006,B,c
BF0006,12.28,110,8.957654723,B,c
BF0006,8.461,71,8.391443092,B,c
BF0006,16.547,150,9.065087327,B,c
BF0006,2.987,31,10.37830599,B,c
BF0006,7.073,69,9.755407889,B,c
BF0006,5.547,50,9.013881377,B,c
BF0006,3.857,37,9.592947887,B,c
BF0006,4.525,46,10.16574586,B,c
BF0006,6.075,56,9.218106996,B,c
BF0006,8.391,72,8.580622095,B,c
BF0006,8.426,77,9.138381201,B,c
BF0006,5.21,47,9.021113244,B,c
BF0006,4.386,44,10.03191974,B,c
BF0006,6.534,66,10.1010101,B,c
BF0015,8.182,107,13.07748717,B,c
BF0015,10.818,137,12.66407839,B,c
BF0015,9.094,116,12.75566307,B,c
BF0015,6.121,80,13.06975984,B,c
BF0015,9.198,116,12.61143727,B,c
BF0015,5.523,70,12.67427123,B,c
BF0015,10.585,137,12.94284365,B,c
BF0015,9.453,122,12.90595578,B,c
BF0015,2.343,31,13.23090055,B,c
BF0015,7.032,92,13.08304892,B,c
BF0015,10.679,137,12.82891657,B,c
BF0015,8.838,114,12.89884589,B,c
BF0015,20.425,245,11.99510404,B,c
BF0015,1.759,23,13.07561114,B,c
BF0015,7.247,93,12.83289637,B,c
BF0015,6.249,79,12.64202272,B,c
BF0015,5.918,78,13.18012842,B,c
BF0015,8.112,106,13.06706114,B,c
BF0015,6.47,81,12.51931994,B,c
BF0019,8.263,66,7.987413772,B,c
BF0019,4.333,35,8.077544426,B,c
BF0019,9.622,74,7.690708792,B,c
BF0019,8.182,66,8.066487411,B,c
BF0019,4.571,37,8.09450886,B,c
BF0019,15.084,109,7.226199947,B,c
BF0019,9.082,67,7.377229685,B,c
BF0019,5.657,47,8.308290613,B,c
BF0019,6.168,52,8.430609598,B,c
BF0019,6.36,52,8.176100629,B,c
BF0019,8.449,56,6.628003314,B,c
BF0019,1.873,15,8.008542445,B,c
BF0019,6.563,49,7.466097821,B,c
BF0019,3.335,27,8.095952024,B,c
BF0019,1.739,14,8.050603795,B,c
BF0019,2.093,16,7.644529384,B,c
BF0019,11.23,90,8.014247551,B,c
BF0019,6.836,56,8.191925102,B,c
BF0019,2.157,17,7.881316643,B,c
BF0019,4.17,36,8.633093525,B,c
BF0004,4.322,29,6.709856548,B,c
BF0004,5.297,38,7.173872003,B,c
BF0004,8.664,58,6.694367498,B,c
BF0004,1.367,11,8.046817849,B,c
BF0004,3.515,21,5.974395448,B,c
BF0004,4.821,29,6.015349513,B,c
BF0004,3.642,25,6.864360242,B,c
BF0004,6.998,46,6.573306659,B,c
BF0004,4.032,26,6.448412698,B,c
BF0004,5.109,46,9.003718927,B,c
BF0004,1.196,10,8.361204013,B,c
BF0004,5.924,40,6.752194463,B,c
BF0004,4.078,27,6.620892594,B,c
BF0002,3.462,25,7.221259388,B,c
BF0002,7.091,56,7.89733465,B,c
BF0002,13.4,105,7.835820896,B,c
BF0002,5.587,42,7.517451226,B,c
BF0002,1.611,15,9.310986965,B,c
BF0002,3.358,28,8.338296605,B,c
BF0002,6.911,51,7.379539864,B,c
BF0002,5.993,51,8.50992825,B,c
BF0002,8.205,64,7.800121877,B,c
BF0002,17.842,139,7.790606434,B,c
BF0002,4.646,36,7.748600947,B,c
BF0002,2.012,13,6.461232604,B,c
BF0002,3.561,29,8.143779837,B,c
BF0002,3.805,28,7.358738502,B,c
BF0002,4.067,31,7.622326039,B,c
BF0002,4.21,33,7.83847981,B,c
BF0002,3.37,25,7.418397626,B,c
BF0002,3.294,25,7.58955677,B,c
BF0002,0.799,8,10.01251564,B,c
