Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0001,3.515,38,10.81081081,A,c
BF0001,1.751,15,8.566533409,A,c
BF0001,3.393,35,10.31535514,A,c
BF0001,3.593,35,9.741163373,A,c
BF0006,2.093,23,10.98901099,A,c
BF0006,6.916,70,10.12145749,A,c
BF0006,6.615,67,10.12849584,A,c
BF0006,13.54,122,9.010339734,A,c
BF0006,5.843,62,10.61098751,A,c
BF0006,6.847,71,10.36950489,A,c
BF0006,5.855,54,9.222886422,A,c
BF0006,8.008,71,8.866133866,A,c
BF0006,5.367,53,9.875163033,A,c
BF0006,7.131,60,8.413967186,A,c
BF0006,7.88,79,10.02538071,A,c
BF0006,9.198,80,8.697542944,A,c
BF0006,9.47,94,9.926082365,A,c
BF0006,5.013,47,9.375623379,A,c
BF0006,9.099,100,10.99021871,A,c
BF0006,2.639,27,10.23114816,A,c
BF0006,5.424,56,10.32448378,A,c
BF0006,9.349,86,9.198844796,A,c
BF0006,4.757,47,9.880176582,A,c
BF0006,8.003,85,10.62101712,A,c
BF0015,12.02,159,13.22795341,A,c
BF0015,12.536,164,13.08232291,A,c
BF0015,10.626,133,12.51646904,A,c
BF0015,8.983,120,13.35856618,A,c
BF0015,8.107,104,12.82841988,A,c
BF0015,9.303,121,13.00655702,A,c
BF0015,12.867,168,13.05665656,A,c
BF0015,4.438,58,13.06894998,A,c
BF0015,6.742,85,12.60753486,A,c
BF0015,11.613,150,12.91655903,A,c
BF0015,9.808,129,13.15252855,A,c
BF0015,8.6,113,13.13953488,A,c
BF0015,10.765,140,13.00510915,A,c
BF0015,13.134,169,12.86736714,A,c
BF0015,13.337,173,12.97143286,A,c
BF0015,11.05,147,13.30316742,A,c
BF0015,10.467,136,12.99321678,A,c
BF0015,11.102,146,13.15078364,A,c
BF0015,4.02,54,13.43283582,A,c
BF0015,13.587,169,12.4383602,A,c
BF0019,4.583,36,7.855116736,A,c
BF0019,11.526,97,8.415755683,A,c
BF0019,10.666,86,8.063003938,A,c
BF0019,6.986,56,8.016032064,A,c
BF0019,5.558,44,7.916516733,A,c
BF0019,12.466,103,8.262473929,A,c
BF0019,9.006,75,8.327781479,A,c
BF0019,6.887,57,8.276462901,A,c
BF0019,4.768,40,8.389261745,A,c
BF0019,5.692,45,7.905832748,A,c
BF0019,7.003,59,8.424960731,A,c
BF0019,4.554,38,8.344312692,A,c
BF0019,8.438,65,7.703247215,A,c
BF0019,4.479,36,8.037508372,A,c
BF0019,5.077,40,7.878668505,A,c
BF0019,8.037,58,7.216623118,A,c
BF0019,7.3587,61,8.289507658,A,c
BF0019,6.737,55,8.163871159,A,c
BF0019,6.958,53,7.61713136,A,c
BF0019,8.368,71,8.484703633,A,c
BF0004,3.207,25,7.795447459,A,c
BF0004,9.111,68,7.463505653,A,c
BF0004,5.912,40,6.765899865,A,c
BF0004,6.33,45,7.109004739,A,c
BF0004,7.904,58,7.33805668,A,c
BF0004,2.981,23,7.715531701,A,c
BF0004,3.497,23,6.577066057,A,c
BF0004,7.207,51,7.076453448,A,c
BF0004,4.636,32,6.902502157,A,c
BF0004,5.053,32,6.332871561,A,c
BF0004,7.225,53,7.335640138,A,c
BF0004,2.621,20,7.630675315,A,c
BF0004,6.597,45,6.821282401,A,c
BF0004,6.87,49,7.132459971,A,c
BF0004,10.3,72,6.990291262,A,c
BF0004,6.777,50,7.377895824,A,c
BF0004,9.227,65,7.044543188,A,c
BF0004,3.503,25,7.136739937,A,c
BF0004,8.164,57,6.981871632,A,c
BF0004,5.396,37,6.85693106,A,c
BF0002,2.342,20,8.53970965,A,c
BF0002,3.462,30,8.665511265,A,c
BF0021,6,42,7,A,c
BF0021,1.866,15,8.038585209,A,c
BF0021,0.473,5,10.57082452,A,c
BF0021,1.855,13,7.008086253,A,c
BF0021,7.544,54,7.158006363,A,c
BF0021,3.654,26,7.115489874,A,c
BF0021,3.892,33,8.478931141,A,c
BF0021,10.423,79,7.57939173,A,c
BF0021,8.6,68,7.906976744,A,c
BF0021,1.164,11,9.450171821,A,c
BF0021,6.598,52,7.881176114,A,c
BF0021,0.549,6,10.92896175,A,c
